iter	Passed	Remaining
438	1284	1640
439	1286	1637
440	1288	1632
441	1289	1628
442	1292	1625
443	1294	1620
444	1295	1616
445	1298	1612
446	1300	1608
447	1301	1604
448	1303	1599
449	1305	1595
450	1307	1591
451	1308	1586
452	1311	1583
453	1312	1578
454	1314	1574
455	1316	1570
456	1317	1565
457	1319	1561
458	1322	1558
459	1323	1554
460	1325	1550
461	1327	1546
462	1329	1542
463	1332	1538
464	1333	1534
465	1335	1530
466	1337	1526
467	1339	1522
468	1341	1518
469	1343	1515
470	1349	1515
471	1351	1511
472	1355	1509
473	1357	1506
474	1359	1502
475	1361	1498
476	1364	1496
477	1367	1492
478	1373	1493
479	1375	1490
480	1378	1487
481	1380	1483
482	1382	1480
483	1385	1476
484	1386	1472
485	1388	1468
486	1391	1465
487	1395	1464
488	1418	1482
489	1423	1481
490	1428	1480
491	1431	1478
492	1436	1477
493	1468	1504
494	1480	1510
495	1487	1511
496	1494	1512
497	1510	1522
498	1531	1537
499	1533	1533
500	1535	1529
501	1536	1524
502	1539	1521
503	1541	1517
504	1550	1519
505	1552	1515
506	1561	1518
507	1608	1558
508	1610	1553
509	1612	1549
510	1615	1546
511	1617	1541
512	1619	1537
513	1621	1533
514	1623	1528
515	1625	1524
516	1627	1520
517	1629	1516
518	1631	1511
519	1632	1507
520	1634	1502
521	1636	1498
522	1638	1494
523	1639	1489
524	1643	1487
525	1646	1483
526	1647	1479
527	1650	1475
528	1652	1471
529	1654	1467
530	1657	1463
531	1659	1459
532	1661	1455
533	1663	1451
534	1664	1446
535	1666	1442
536	1668	1438
537	1670	1434
538	1672	1430
539	1673	1425
540	1675	1421
541	1676	1417
542	1678	1412
543	1680	1408
544	1682	1404
545	1690	1405
546	1692	1401
547	1694	1397
548	1696	1393
549	1698	1389
550	1699	1385
551	1701	1380
552	1704	1377
553	1705	1373
554	1707	1369
555	1709	1365
556	1711	1360
557	1713	1356
558	1718	1355
559	1723	1354
560	1725	1350
561	1727	1346
562	1729	1342
563	1731	1338
564	1733	1334
565	1735	1331
566	1737	1327
567	1739	1322
568	1741	1318
569	1742	1314
570	1744	1310
571	1746	1306
572	1748	1302
573	1749	1298
574	1751	1294
575	1753	1290
576	1755	1286
577	1756	1282
578	1758	1278
579	1760	1274
580	1762	1271
581	1764	1267
582	1766	1263
583	1769	1260
584	1771	1256
585	1772	1252
586	1774	1248
587	1776	1244
588	1778	1241
589	1780	1237
590	1782	1233
591	1785	1230
592	1787	1226
593	1789	1223
594	1791	1219
595	1792	1215
596	1794	1211
597	1795	1207
598	1797	1203
599	1799	1199
600	1801	1196
601	1803	1192
602	1805	1188
603	1807	1185
604	1809	1181
605	1811	1177
606	1813	1173
607	1815	1170
608	1818	1167
609	1823	1165
610	1824	1161
611	1826	1158
612	1828	1154
613	1830	1151
614	1833	1147
615	1834	1143
616	1837	1140
617	1838	1136
618	1840	1133
619	1842	1129
620	1844	1125
621	1846	1122
622	1849	1119
623	1851	1115
624	1853	1112
625	1855	1108
626	1857	1104
627	1858	1101
628	1860	1097
629	1862	1093
630	1864	1090
631	1865	1086
632	1868	1083
633	1870	1079
634	1872	1076
635	1875	1073
636	1876	1069
637	1881	1067
638	1883	1063
639	1886	1061
640	1888	1057
641	1891	1054
642	1893	1051
643	1898	1049
644	1904	1048
645	1906	1044
646	1908	1041
647	1910	1037
648	1916	1036
649	1918	1033
650	1922	1030
651	1953	1042
652	1960	1041
653	1967	1041
654	1970	1037
655	1972	1034
656	1974	1031
657	1979	1029
658	1982	1025
659	1984	1022
660	2002	1026
661	2004	1023
662	2009	1021
663	2011	1017
664	2038	1026
665	2044	1025
666	2048	1022
667	2050	1019
668	2052	1015
669	2055	1012
670	2057	1008
671	2068	1009
672	2070	1005
673	2072	1002
674	2074	999
675	2076	995
676	2078	991
677	2080	988
678	2082	984
679	2084	981
680	2112	989
681	2114	986
682	2116	982
683	2118	978
684	2120	974
685	2121	971
686	2123	967
687	2126	964
688	2128	960
689	2130	957
690	2132	953
691	2134	950
692	2136	946
693	2138	942
694	2141	939
695	2142	935
696	2152	935
697	2159	934
698	2177	937
699	2181	934
700	2201	938
701	2203	935
702	2205	931
703	2207	928
704	2213	926
705	2215	922
706	2217	918
707	2221	916
708	2239	919
709	2251	919
710	2321	943
711	2323	940
712	2336	940
713	2338	936
714	2343	933
715	2345	930
716	2347	926
717	2350	923
718	2352	919
719	2354	915
720	2356	911
721	2359	908
722	2362	905
723	2364	901
724	2367	897
725	2369	894
726	2382	894
727	2385	891
728	2389	888
729	2390	884
730	2392	880
731	2396	877
732	2398	873
733	2401	870
734	2402	866
735	2404	862
736	2406	858
737	2408	855
738	2410	851
739	2413	847
740	2414	844
741	2416	840
742	2418	836
743	2423	833
744	2425	830
745	2428	826
746	2430	823
747	2432	819
748	2436	816
749	2438	812
750	2440	809
751	2445	806
752	2459	806
753	2461	803
754	2464	799
755	2467	796
756	2469	792
757	2471	789
758	2474	785
759	2477	782
760	2489	781
761	2495	779
762	2502	777
763	2528	780
764	2530	777
765	2532	773
766	2536	770
767	2538	766
768	2553	767
769	2578	770
770	2583	767
771	2589	764
772	2621	769
773	2629	767
774	2636	765
775	2650	765
776	2656	762
777	2658	758
778	2661	754
779	2664	751
780	2666	747
781	2668	743
782	2670	739
783	2671	736
784	2674	732
785	2676	728
786	2678	724
787	2680	721
788	2682	717
789	2684	713
790	2686	709
791	2688	706
792	2700	705
793	2703	701
794	2704	697
795	2714	695
796	2718	692
797	2719	688
798	2722	684
799	2727	681
800	2731	678
801	2732	674
802	2734	670
803	2740	668
804	2741	664
805	2743	660
806	2748	657
807	2750	653
808	2752	649
809	2756	646
810	2761	643
811	2762	639
812	2764	635
813	2765	632
814	2774	629
815	2778	626
816	2780	622
817	2782	619
818	2783	615
819	2785	611
820	2787	607
821	2789	603
822	2792	600
823	2795	597
824	2797	593
825	2799	589
826	2801	585
827	2802	582
828	2804	578
829	2806	574
830	2807	571
831	2809	567
832	2812	563
833	2814	560
834	2816	556
835	2818	552
836	2819	549
837	2821	545
838	2823	541
839	2825	538
840	2826	534
841	2828	530
842	2829	527
843	2831	523
844	2833	519
845	2844	517
846	2846	514
847	2848	510
848	2851	507
849	2856	504
850	2858	500
851	2860	496
852	2862	493
853	2864	489
854	2866	486
855	2868	482
856	2869	478
857	2871	475
858	2873	471
859	2875	468
860	2877	464
861	2879	460
862	2881	457
863	2883	453
864	2885	450
865	2886	446
866	2888	443
867	2890	439
868	2891	435
869	2893	432
870	2895	428
871	2897	425
872	2899	421
873	2900	418
874	2902	414
875	2904	411
876	2905	407
877	2907	403
878	2909	400
879	2910	396
880	2912	393
881	2918	390
882	2919	386
883	2921	383
884	2923	379
885	2925	376
886	2926	372
887	2929	369
888	2931	365
889	2933	362
890	2935	359
891	2936	355
892	2938	352
893	2939	348
894	2941	345
895	2943	341
896	2944	338
897	2946	334
898	2949	331
899	2951	327
900	2952	324
901	2954	320
902	2956	317
903	2958	314
904	2960	310
905	2962	307
906	2964	303
907	2965	300
908	2967	297
909	2968	293
910	2970	290
911	2971	286
912	2973	283
913	2975	279
914	2977	276
915	2979	273
916	2981	269
917	2982	266
918	2984	263
919	2986	259
920	2988	256
921	2990	252
922	2993	249
923	2995	246
924	2997	243
925	2998	239
926	3001	236
927	3003	232
928	3004	229
929	3006	226
930	3008	222
931	3010	219
932	3012	216
933	3014	213
934	3016	209
935	3017	206
936	3019	203
937	3020	199
938	3024	196
939	3026	193
940	3028	189
941	3029	186
942	3031	183
943	3037	180
944	3038	176
945	3052	174
946	3055	170
947	3057	167
948	3059	164
949	3062	161
950	3064	157
951	3067	154
952	3068	151
953	3071	148
954	3073	144
955	3074	141
956	3077	138
957	3078	134
958	3081	131
959	3083	128
960	3085	125
961	3087	121
962	3089	118
963	3090	115
964	3097	112
965	3099	109
966	3101	105
967	3103	102
968	3108	99
969	3110	96
970	3114	93
971	3116	89
972	3118	86
973	3120	83
974	3121	80
975	3123	76
976	3125	73
977	3127	70
978	3129	67
979	3131	63
980	3133	60
981	3134	57
982	3136	54
983	3138	51
984	3145	47
985	3147	44
986	3148	41
987	3150	38
988	3152	35
989	3153	31
990	3175	28
991	3177	25
992	3179	22
993	3181	19
994	3183	15
995	3185	12
996	3187	9
997	3189	6
998	3191	3
999	3192	0
